,id,title,author,genre,story,score,thumbnail_url,platform
353,353,강남도깨비,이경민 / 송준혁,"스토리, 판타지","전세계 44명, 황금의 피를 가진 전교1등을 노리는 도깨비가 나타났다.
지상 최대 공모전 최우수상 수상작!!",9.898000000000001,https://shared-comic.pstatic.net/thumb/webtoon/733728/thumbnail/thumbnail_IMAG06_ce725536-626f-4265-ac9f-24e736410445.jpg,네이버 웹툰
354,354,내일,라마,"옴니버스, 드라마","다 되는데 취업만은 안되는 취준생 최준웅(27세,남)
우연한 사고로 저승독점기업 주마등의 저승차사들을 만나게되고
 
특별 위기관리팀의 계약직 막내로 일하며 위기에 처한 사람들을 돕게 되는데.",9.982,https://shared-comic.pstatic.net/thumb/webtoon/695796/thumbnail/thumbnail_IMAG06_6d94f272-2d5a-4ac7-83ca-f86b688e1dd9.jpg,네이버 웹툰
355,355,조선여우스캔들,"문종호, 차소희 / 정후","에피소드, 시대극","우리가 아는 전래동화는 사실 하늘에서 도망친 신수들이 벌인 범죄극이다!
하늘에서 어사로 파견된 여우 시호. 조선 최고의 기생이자 사기꾼 초란.
재주도 많고 사연도 많은 이들이 도깨비들의 수장 담과 함께
인간들을 괴롭히는 악한 신수들을 쫓아, 전래동화 속 이야기를 유쾌하게 뒤집고,
하늘마저 눈물을 흘릴 애틋한 사랑도 함께 시작한다. 바로 지금!",9.900000000000002,https://shared-comic.pstatic.net/thumb/webtoon/758676/thumbnail/thumbnail_IMAG06_1b2a397d-b508-4448-b330-5c2baf403b19.jpg,네이버 웹툰
356,356,학교정벌,나락 / 지앤,"스토리, 판타지","학교는 공부하는 곳이 아니다.
학생의 성적과 재능이 무기가 되고, 학교가 이동 요새가 되어 벌어지는 학교정벌!
밑바닥 학교의 전교회장인 마파람이 보여주는 뜨거운 반란.",9.879,https://shared-comic.pstatic.net/thumb/webtoon/739097/thumbnail/thumbnail_IMAG06_7e15c82c-234a-4ed9-a0ad-556fdce9f30f.jpg,네이버 웹툰
357,357,평행도시,고다,"스토리, 판타지","날 찾아온 또 다른 나..?
극악무도한 도플갱어의 습격,
그리고 눈 앞에 펼쳐진 끔찍한 평행세계.
다시 예전의 삶으로 돌아갈 수 있을까?",9.967000000000002,https://shared-comic.pstatic.net/thumb/webtoon/730607/thumbnail/thumbnail_IMAG06_3258f702-586a-4cea-adc9-faf933d92bbd.jpg,네이버 웹툰
358,358,결혼까지 망상했어!,문주,"스토리, 로맨스","'내게는 짝남도 강제 남사친일 뿐' 
10대 안에 한 번이라도 연애를 해보는 게 소원이지만 호감 상대와 결혼까지 망상하면 절대 성사되지 않는다는 징크스를 지닌 소망. 
연애의 '연'자도 허용되지 않던 그녀의 현실에도 볕 들 날이 오긴 하는데... 이게 과연 썸이 맞긴 할까? 망상 소녀 소망의 유쾌 발랄 로맨스.",9.961000000000002,https://shared-comic.pstatic.net/thumb/webtoon/761599/thumbnail/thumbnail_IMAG06_b8f4b5f1-8d54-4ad4-bd3c-1ce7eccfccf8.jpg,네이버 웹툰
359,359,아르세니아의 마법사,박성호 / SAYM,"스토리, 판타지","평범한 고등학생에서 벗어나 레드 드래곤 레이어드에 의해 아르세니아 대륙으로 소환된 이결.
집으로 가기 위해서는 마법사가 되어서 드래곤 하트 조각을 모아야만 한다!
마법사가 되어버린 고등학생 이결은 새로운 동료들과 함께 아르세니아 대륙 모험을 시작한다!",9.935000000000002,https://shared-comic.pstatic.net/thumb/webtoon/741458/thumbnail/thumbnail_IMAG06_9c7ab147-9fd6-42f5-a079-0f33825abb03.jpg,네이버 웹툰
360,360,라일락 200%,아니영,"스토리, 로맨스","아이돌 덕후 연하늘과 걸그룹 센터 진분홍의 영혼 체인지!
'누나 안 바쁘면 비상구에서 잠깐 볼래요?' 최애를 매일 밤 만날 수 있다니! 이 순간을 잃고 싶지 않아.",9.965,https://shared-comic.pstatic.net/thumb/webtoon/736641/thumbnail/thumbnail_IMAG06_64dee34c-f548-4f6b-a29f-62d57b4cb06f.jpg,네이버 웹툰
361,361,불발소년,곤세,"에피소드, 드라마","킬러소년 민준, 소녀를 만나고 삶이 달라지다
어렸을 때부터 프로 킬러로 교육받고 자란 민준은 
어느날 수학여행에서 한 소녀를 만나게 되고 
감정이 없는 그에게 감정이라는 것이 자라나기 시작한다.",9.91,https://shared-comic.pstatic.net/thumb/webtoon/743721/thumbnail/thumbnail_IMAG06_fb5e8e11-4283-4bc9-a3f4-f54d354b86be.jpg,네이버 웹툰
362,362,데빌샷,CTK,"스토리, 판타지","죽음을 마주한 순간,
지하세계의 왕과 계약했다.",9.973,https://shared-comic.pstatic.net/thumb/webtoon/753842/thumbnail/thumbnail_IMAG06_6e15a7fb-46ba-46e2-850a-d8a866e953f7.jpg,네이버 웹툰
